time,cell_number,x,y,Alive,nuclei_size,cell_size,protein_concentration,number_of_mRNA_in_nucleus,number_of_mRNA_in_cytoplasm,number_of_transcription_sites,file_name
8,2,77,118,1,2497.0,5304,70.98529411764706,1,1,0,rep2_FOV3
9,2,77,118,1,2479.0,5198,69.65390534821086,0,3,1,rep2_FOV3
10,2,77,118,1,2467.0,5241,72.63270368250333,3,4,1,rep2_FOV3
11,2,77,118,1,2482.0,5614,79.20466690416815,4,11,0,rep2_FOV3
12,2,77,118,1,2461.0,5503,79.6921679084136,3,4,0,rep2_FOV3
13,2,77,118,1,2488.0,5535,80.07154471544716,1,7,1,rep2_FOV3
14,2,77,118,1,2480.0,5525,78.46135746606335,2,5,0,rep2_FOV3
15,2,77,118,1,2479.0,5439,76.83526383526383,1,4,0,rep2_FOV3
16,2,77,118,1,2498.0,5358,73.56177678238149,2,4,0,rep2_FOV3
17,2,77,118,1,2469.0,5310,73.10960451977401,0,2,0,rep2_FOV3
18,2,77,118,1,2474.0,5250,72.84666666666666,0,4,0,rep2_FOV3
19,2,77,118,1,2472.0,5275,71.08208530805688,0,5,1,rep2_FOV3
20,2,77,118,1,2472.0,5467,74.84159502469362,1,2,1,rep2_FOV3
0,3,414,111,1,2501.0,5512,79.31295355587808,0,0,1,rep2_FOV3
1,3,414,111,1,2518.0,5580,81.23602150537634,2,3,1,rep2_FOV3
2,3,414,111,1,2506.0,5753,87.90787415261603,1,6,0,rep2_FOV3
3,3,414,111,1,2531.0,5903,98.64950025410808,1,4,0,rep2_FOV3
4,3,414,111,1,2500.0,5788,96.24447131997236,1,3,0,rep2_FOV3
5,3,414,111,1,2514.0,5709,85.59992993519005,0,4,0,rep2_FOV3
6,3,414,111,1,2500.0,5507,78.8349373524605,0,2,1,rep2_FOV3
7,3,414,111,1,2511.0,5349,74.79790615068237,1,2,0,rep2_FOV3
8,3,414,111,1,2514.0,5232,73.2303134556575,1,1,0,rep2_FOV3
9,3,414,111,1,2506.0,5252,70.70354150799696,1,0,0,rep2_FOV3
10,3,414,111,1,2515.0,5023,67.22795142345213,1,1,0,rep2_FOV3
11,3,414,111,1,2483.0,5083,67.67656895534134,1,0,0,rep2_FOV3
12,3,414,111,1,2497.0,4972,66.83407079646018,0,0,0,rep2_FOV3
13,3,414,111,1,2499.0,4969,66.16079694103442,0,1,0,rep2_FOV3
14,3,414,111,1,2508.0,4891,66.70047025148232,0,0,0,rep2_FOV3
15,3,414,111,1,2504.0,4924,64.98009748172218,2,0,0,rep2_FOV3
16,3,414,111,1,2515.0,4712,66.51952461799661,2,2,0,rep2_FOV3
17,3,414,111,1,2510.0,5006,67.44226927686776,2,2,0,rep2_FOV3
18,3,414,111,1,2514.0,5063,67.32312857989335,2,0,0,rep2_FOV3
19,3,414,111,1,2506.0,4985,66.04232698094283,1,0,0,rep2_FOV3
20,3,414,111,1,2517.0,4856,65.44769357495882,1,0,0,rep2_FOV3
0,4,581,172,1,2345.0,6287,116.8648003817401,1,4,0,rep2_FOV3
1,4,581,172,1,2346.0,6104,103.56979030144167,2,5,0,rep2_FOV3
2,4,581,172,1,2326.0,6152,99.28949934980494,0,5,0,rep2_FOV3
3,4,581,172,1,2365.0,5984,92.22493315508021,1,3,0,rep2_FOV3
4,4,581,172,1,2337.0,5840,85.52414383561644,4,5,0,rep2_FOV3
5,4,581,172,1,2330.0,5808,81.43629476584022,0,5,0,rep2_FOV3
6,4,581,172,1,2331.0,5637,76.03885045236828,2,4,0,rep2_FOV3
7,4,581,172,1,2342.0,5602,75.44912531238843,1,2,0,rep2_FOV3
8,4,581,172,1,2344.0,5505,73.05358764759309,0,3,1,rep2_FOV3
9,4,581,172,1,2338.0,5475,71.69808219178083,2,3,0,rep2_FOV3
10,4,581,172,1,2337.0,5413,70.04359874376502,1,3,0,rep2_FOV3
11,4,581,172,1,2333.0,5395,71.42780352177942,1,4,0,rep2_FOV3
12,4,581,172,1,2348.0,5284,69.6837623012869,4,3,0,rep2_FOV3
13,4,581,172,1,2337.0,5440,69.8389705882353,1,3,0,rep2_FOV3
14,4,581,172,1,2340.0,5310,69.2075329566855,0,0,0,rep2_FOV3
15,4,581,172,1,2336.0,5418,68.70265780730897,0,1,0,rep2_FOV3
16,4,581,172,1,2345.0,5249,68.80510573442561,3,1,0,rep2_FOV3
17,4,581,172,1,2323.0,5185,68.37107039537126,3,3,1,rep2_FOV3
18,4,581,172,1,2343.0,5442,71.77434766629915,3,5,0,rep2_FOV3
19,4,581,172,1,2349.0,5486,74.4008384979949,0,6,1,rep2_FOV3
20,4,581,172,1,2348.0,5544,73.99080086580086,2,5,0,rep2_FOV3
0,5,240,244,1,2503.0,5493,82.45858365192062,1,3,0,rep2_FOV3
1,5,240,244,1,2522.0,5628,83.51510305614784,2,4,0,rep2_FOV3
2,5,240,244,1,2516.0,5649,89.25526641883519,0,2,0,rep2_FOV3
3,5,240,244,1,2496.0,5564,85.18691588785046,0,1,0,rep2_FOV3
4,5,240,244,1,2505.0,5483,82.17873426956047,0,2,0,rep2_FOV3
5,5,240,244,1,2529.0,5349,76.06898485698261,0,1,1,rep2_FOV3
6,5,240,244,1,2536.0,5131,73.40771779380238,1,0,0,rep2_FOV3
7,5,240,244,1,2517.0,5165,70.9270087124879,2,2,0,rep2_FOV3
8,5,240,244,1,2537.0,5163,70.72264187487895,1,2,0,rep2_FOV3
9,5,240,244,1,2518.0,5116,68.69996090695857,0,0,0,rep2_FOV3
10,5,240,244,1,2511.0,4956,67.32223567393059,0,1,0,rep2_FOV3
11,5,240,244,1,2504.0,4970,68.73702213279678,0,1,0,rep2_FOV3
12,5,240,244,1,2510.0,4768,66.8932466442953,0,0,0,rep2_FOV3
13,5,240,244,1,2517.0,4778,66.52511511092507,0,0,0,rep2_FOV3
14,5,240,244,1,2513.0,4354,65.72462103812586,1,0,1,rep2_FOV3
15,5,240,244,1,2484.0,5016,66.51913875598086,0,2,2,rep2_FOV3
16,5,240,244,1,2506.0,5072,69.03785488958991,-1,4,2,rep2_FOV3
17,5,240,244,1,2527.0,5207,74.17495678893796,3,2,1,rep2_FOV3
18,5,240,244,1,2486.0,5433,78.65819988956378,2,6,1,rep2_FOV3
19,5,240,244,1,2509.0,5447,81.3005324031577,1,5,1,rep2_FOV3
20,5,240,244,1,2530.0,5491,79.1161901293025,2,7,1,rep2_FOV3
0,6,160,368,1,2321.0,4734,65.33185466835657,1,1,1,rep2_FOV3
1,6,160,368,1,2330.0,5073,68.40232603981865,1,0,0,rep2_FOV3
2,6,160,368,1,2311.0,5102,72.09388475107801,0,3,1,rep2_FOV3
3,6,160,368,1,2319.0,5400,76.39351851851852,1,3,1,rep2_FOV3
4,6,160,368,1,2324.0,5582,85.3183446793264,2,4,1,rep2_FOV3
5,6,160,368,1,2307.0,5461,81.31587621314777,1,5,0,rep2_FOV3
6,6,160,368,1,2329.0,5420,77.86033210332103,0,1,0,rep2_FOV3
7,6,160,368,1,2323.0,5233,73.06516338620294,0,1,0,rep2_FOV3
8,6,160,368,1,2325.0,5238,71.77262313860253,0,0,0,rep2_FOV3
9,6,160,368,1,2296.0,5048,68.0330824088748,0,0,0,rep2_FOV3
10,6,160,368,1,2311.0,4970,67.55492957746479,0,0,1,rep2_FOV3
11,6,160,368,1,2337.0,4890,66.3676891615542,1,1,1,rep2_FOV3
12,6,160,368,1,2326.0,4952,68.46021809369951,3,3,0,rep2_FOV3
13,6,160,368,1,2323.0,5048,68.9467115689382,2,1,0,rep2_FOV3
14,6,160,368,1,2295.0,5084,69.09205350118017,3,2,1,rep2_FOV3
15,6,160,368,1,2305.0,5049,69.78035254505842,6,4,1,rep2_FOV3
16,6,160,368,1,2328.0,5266,71.54576528674515,2,4,1,rep2_FOV3
17,6,160,368,1,2316.0,5295,74.58980169971672,3,5,0,rep2_FOV3
18,6,160,368,1,2313.0,5388,75.29621380846325,0,5,1,rep2_FOV3
19,6,160,368,1,2320.0,5378,76.44347341018967,2,3,1,rep2_FOV3
20,6,160,368,1,2302.0,5351,77.13810502709774,2,3,1,rep2_FOV3
0,7,562,404,1,2402.0,6176,129.33079663212436,3,8,0,rep2_FOV3
1,7,562,404,1,2434.0,6060,116.51518151815182,3,4,0,rep2_FOV3
2,7,562,404,1,2408.0,5885,105.15921835174171,1,3,1,rep2_FOV3
3,7,562,404,1,2424.0,5845,97.47852865697178,2,6,1,rep2_FOV3
4,7,562,404,1,2416.0,5858,103.56845339706385,1,3,1,rep2_FOV3
5,7,562,404,1,2421.0,5676,92.79457364341086,3,2,0,rep2_FOV3
6,7,562,404,1,2435.0,5498,81.69916333212078,3,4,0,rep2_FOV3
7,7,562,404,1,2422.0,5412,78.10051736881005,2,3,0,rep2_FOV3
8,7,562,404,1,2433.0,5308,73.52336096458177,1,3,1,rep2_FOV3
9,7,562,404,1,2401.0,5236,72.80309396485868,1,5,1,rep2_FOV3
10,7,562,404,1,2437.0,5244,70.67143401983219,4,2,0,rep2_FOV3
11,7,562,404,1,2437.0,5184,73.56346450617283,1,4,1,rep2_FOV3
12,7,562,404,1,2436.0,5152,69.69371118012423,3,8,0,rep2_FOV3
13,7,562,404,1,2423.0,5100,74.06450980392157,1,3,0,rep2_FOV3
14,7,562,404,1,2411.0,5235,71.27736389684814,2,4,1,rep2_FOV3
15,7,562,404,1,2433.0,5167,71.58854267466614,3,1,0,rep2_FOV3
16,7,562,404,1,2416.0,5142,71.00991831971996,1,4,0,rep2_FOV3
17,7,562,404,1,2430.0,5106,71.85918527222876,0,2,1,rep2_FOV3
18,7,562,404,1,2418.0,5261,72.47386428435658,1,5,1,rep2_FOV3
19,7,562,404,1,2412.0,5337,73.91156080194867,4,4,0,rep2_FOV3
20,7,562,404,1,2427.0,5371,76.00316514615528,3,5,0,rep2_FOV3
0,8,441,423,1,2347.0,5691,107.23791952205237,2,4,0,rep2_FOV3
1,8,441,423,1,2325.0,5783,107.08870828289815,2,5,0,rep2_FOV3
2,8,441,423,1,2341.0,5789,107.2088443599931,1,4,1,rep2_FOV3
3,8,441,423,1,2358.0,5646,101.17481402763018,1,3,0,rep2_FOV3
4,8,441,423,1,2344.0,5601,94.22388859132298,1,1,0,rep2_FOV3
5,8,441,423,1,2336.0,5388,86.2919450631032,1,4,1,rep2_FOV3
6,8,441,423,1,2344.0,5343,83.45068313681452,3,4,0,rep2_FOV3
7,8,441,423,1,2351.0,5294,80.84170759350208,1,6,0,rep2_FOV3
8,8,441,423,1,2334.0,5254,77.08964598401218,1,4,0,rep2_FOV3
9,8,441,423,1,2360.0,5104,76.30387931034483,2,5,1,rep2_FOV3
10,8,441,423,1,2341.0,5101,73.94099196236031,2,5,1,rep2_FOV3
11,8,441,423,1,2357.0,5066,74.54026845637584,1,4,1,rep2_FOV3
12,8,441,423,1,2340.0,5044,73.50515463917526,3,8,1,rep2_FOV3
13,8,441,423,1,2335.0,5216,76.7291027607362,0,7,1,rep2_FOV3
14,8,441,423,1,2353.0,5193,77.47178894665896,0,8,1,rep2_FOV3
15,8,441,423,1,2359.0,5160,75.89399224806202,2,6,0,rep2_FOV3
16,8,441,423,0,0.0,0,0.0,0,0,0,rep2_FOV3
17,8,441,423,0,0.0,0,0.0,0,0,0,rep2_FOV3
18,8,441,423,0,0.0,0,0.0,0,0,0,rep2_FOV3
19,8,441,423,0,0.0,0,0.0,0,0,0,rep2_FOV3
20,8,441,423,0,0.0,0,0.0,0,0,0,rep2_FOV3
0,9,353,508,1,2338.0,6487,117.85370741482966,1,8,1,rep2_FOV3
1,9,353,508,1,2364.0,6747,144.7332147621165,1,5,1,rep2_FOV3
2,9,353,508,1,2336.0,6714,146.25618111408997,4,8,0,rep2_FOV3
3,9,353,508,1,2350.0,6722,139.61350788455817,1,6,0,rep2_FOV3
4,9,353,508,1,2351.0,6598,127.26659593816308,2,5,0,rep2_FOV3
5,9,353,508,1,2326.0,6347,106.91870174885773,2,1,0,rep2_FOV3
6,9,353,508,1,2351.0,6219,92.90512944203248,2,4,1,rep2_FOV3
7,9,353,508,1,2346.0,6091,87.55130520439994,1,9,1,rep2_FOV3
8,9,353,508,1,2344.0,5887,86.03635128248683,2,7,1,rep2_FOV3
9,9,353,508,1,2347.0,6040,86.58427152317881,2,9,0,rep2_FOV3
10,9,353,508,1,2355.0,5971,83.52754982415006,2,5,1,rep2_FOV3
11,9,353,508,1,2349.0,5934,81.64829794405124,1,7,0,rep2_FOV3
12,9,353,508,1,2350.0,5797,77.90443332758323,2,4,0,rep2_FOV3
13,9,353,508,1,2351.0,5679,74.5559077302342,1,7,0,rep2_FOV3
14,9,353,508,1,2336.0,5633,75.00230782886561,1,3,1,rep2_FOV3
15,9,353,508,1,2331.0,5618,71.90085439658242,3,4,0,rep2_FOV3
16,9,353,508,1,2330.0,5660,71.63851590106007,3,3,0,rep2_FOV3
17,9,353,508,1,2346.0,5467,71.28882385220413,3,2,0,rep2_FOV3
18,9,353,508,1,2395.0,5616,71.21723646723646,1,1,1,rep2_FOV3
19,9,353,508,1,2335.0,5592,69.85103719599428,3,1,1,rep2_FOV3
20,9,353,508,1,2370.0,5586,70.32098102398854,2,5,0,rep2_FOV3
0,10,126,529,1,2508.0,5449,85.1301156175445,0,0,0,rep2_FOV3
1,10,126,529,1,2485.0,5146,77.03575592693355,2,0,0,rep2_FOV3
2,10,126,529,1,2514.0,5041,72.74985121999603,1,0,0,rep2_FOV3
3,10,126,529,1,2494.0,4952,69.05613893376413,0,1,0,rep2_FOV3
4,10,126,529,1,2513.0,4825,67.61471502590673,1,0,0,rep2_FOV3
5,10,126,529,1,2525.0,4796,66.98644703919933,1,0,0,rep2_FOV3
6,10,126,529,1,2501.0,4700,66.33468085106384,1,0,0,rep2_FOV3
7,10,126,529,1,2477.0,4616,65.22985268630849,0,0,0,rep2_FOV3
8,10,126,529,1,2511.0,4796,64.80379482902418,0,0,0,rep2_FOV3
9,10,126,529,1,2486.0,4724,65.79424216765453,1,0,0,rep2_FOV3
10,10,126,529,1,2518.0,4690,65.62260127931769,2,0,0,rep2_FOV3
11,10,126,529,1,2502.0,4770,66.20964360587003,1,2,0,rep2_FOV3
12,10,126,529,1,2517.0,4621,65.44622376109068,0,1,0,rep2_FOV3
13,10,126,529,1,2489.0,4580,66.44781659388646,1,1,0,rep2_FOV3
14,10,126,529,1,2503.0,4774,65.53183912861333,2,1,0,rep2_FOV3
15,10,126,529,1,2478.0,4644,65.99095607235142,2,1,0,rep2_FOV3
16,10,126,529,1,2507.0,4703,67.27620667658941,2,1,0,rep2_FOV3
17,10,126,529,1,2507.0,4819,67.67711143390746,3,3,0,rep2_FOV3
18,10,126,529,1,2513.0,4935,67.73414387031409,1,1,1,rep2_FOV3
19,10,126,529,1,2519.0,4794,66.82895285773884,1,0,1,rep2_FOV3
20,10,126,529,1,2498.0,4459,66.88069073783359,1,1,1,rep2_FOV3
0,11,568,532,1,2255.0,5941,121.46355832351456,0,4,1,rep2_FOV3
1,11,568,532,1,2223.0,5844,109.66700889801506,2,4,0,rep2_FOV3
2,11,568,532,1,2249.0,5786,101.7319391634981,2,3,0,rep2_FOV3
3,11,568,532,1,2245.0,5671,94.97742902486334,1,7,1,rep2_FOV3
4,11,568,532,1,2236.0,5827,102.80967908014415,4,4,0,rep2_FOV3
5,11,568,532,1,2257.0,5673,92.42693460250308,1,6,0,rep2_FOV3
6,11,568,532,1,2231.0,5506,83.8567017798765,0,3,0,rep2_FOV3
7,11,568,532,1,2261.0,5310,77.64500941619586,0,1,0,rep2_FOV3
8,11,568,532,1,2230.0,5153,73.8418397050262,1,1,1,rep2_FOV3
9,11,568,532,1,2230.0,4997,70.10626375825495,4,0,0,rep2_FOV3
10,11,568,532,1,2249.0,5039,70.51180789839253,2,3,2,rep2_FOV3
11,11,568,532,1,2241.0,5185,74.51494696239152,0,5,1,rep2_FOV3
12,11,568,532,1,2245.0,5377,77.98939929328623,3,6,1,rep2_FOV3
13,11,568,532,1,2229.0,5434,79.5011041589989,4,6,0,rep2_FOV3
14,11,568,532,1,2252.0,5401,80.8531753379004,1,10,1,rep2_FOV3
15,11,568,532,1,2244.0,5203,78.39515664039978,2,5,0,rep2_FOV3
16,11,568,532,1,2244.0,5263,76.4731141934258,3,4,0,rep2_FOV3
17,11,568,532,1,2230.0,5252,74.75209444021326,0,6,1,rep2_FOV3
18,11,568,532,1,2241.0,5233,74.75807376266005,3,4,0,rep2_FOV3
19,11,568,532,1,2226.0,5130,73.17153996101365,4,3,0,rep2_FOV3
20,11,568,532,1,2231.0,5143,74.10771923002139,3,3,0,rep2_FOV3
